no	phrase	url
218	ONE STEP AT A TIME	https://www.youtube.com/shorts/8nr2rYP60EQ
219	NOW YOU'RE SPEAKING MY LANGUAGE	https://www.youtube.com/shorts/D_Yv2tEbQ7o
220	I JUST NEEDED TO VENT	https://www.youtube.com/shorts/Q12fufGxLgs
221	RIP OFF THE BAND-AID	https://www.youtube.com/shorts/8iUI9v7ayQg
222	THAT WAS A CLOSE CALL	https://www.youtube.com/shorts/RG65g0rLT5U
223	WHAT ARE YOU GETTING AT?	https://www.youtube.com/shorts/TIC7cc696UE
224	LET'S JUST CALL IT QUITS	https://www.youtube.com/shorts/lL29v8H5-oc
225	I'M IN OVER MY HEAD	https://www.youtube.com/shorts/5dpbjBJFhio
226	WHERE HAVE YOU BEEN KEEPING YOURSELF?	https://www.youtube.com/shorts/MUcQDIew6G8
227	IT DOESN'T RING A BELL	https://www.youtube.com/shorts/sjWpid620Hw
228	YOU HAVEN'T LOST YOUR TOUCH	https://www.youtube.com/shorts/zKfl_HGiV-c
229	I'M JUST NOT UP FOR IT	https://www.youtube.com/shorts/i_azz1odI7g
230	IT TAKES ONE TO KNOW ONE	https://www.youtube.com/shorts/f2Fe6H6TJCE
231	I'LL MAKE IT UP TO YOU	https://www.youtube.com/shorts/bMlP0Efhp6s
232	HOW ARE YOU HOLDING UP?	https://www.youtube.com/shorts/MDCpRJ3bbvU
233	NOT THAT I KNOW OF	https://www.youtube.com/shorts/0OQP5ah3kJo
234	IS THAT A THING?	https://www.youtube.com/shorts/aYvqAVr5PTU
235	WHY WOULD WE DO THAT?	https://www.youtube.com/shorts/6_F5yJ7hkeo
